year,region,state,gender,mode_of_trans,count
2015,West,Nevada,female,public_transportation,21475
2015,West,Nevada,female,bicycle,1225
2015,West,Nevada,female,walked,12839
2015,West,Nevada,female,taxicab_or_other,6951
2015,Northeast,New Hampshire,female,drove_alone,271105
2015,Northeast,New Hampshire,female,carpooled,25213
2015,Northeast,New Hampshire,female,public_transportation,2707
2015,Northeast,New Hampshire,female,bicycle,557
2015,Northeast,New Hampshire,female,walked,8690
2015,Northeast,New Hampshire,female,taxicab_or_other,1995
2015,Northeast,New Jersey,female,drove_alone,1471513
2015,Northeast,New Jersey,female,carpooled,146326
2015,Northeast,New Jersey,female,public_transportation,226476
2015,Northeast,New Jersey,female,bicycle,2367
2015,Northeast,New Jersey,female,walked,65946
2015,Northeast,New Jersey,female,taxicab_or_other,23730
2015,Southwest,New Mexico,female,drove_alone,334521
2015,Southwest,New Mexico,female,carpooled,37141
2015,Southwest,New Mexico,female,public_transportation,4324
2015,Southwest,New Mexico,female,bicycle,1664
2015,Southwest,New Mexico,female,walked,8519
2015,Southwest,New Mexico,female,taxicab_or_other,3132
2015,Northeast,New York,female,drove_alone,2289661
2015,Northeast,New York,female,carpooled,288551
2015,Northeast,New York,female,public_transportation,1354092
2015,Northeast,New York,female,bicycle,16079
2015,Northeast,New York,female,walked,293505
2015,Northeast,New York,female,taxicab_or_other,50101
2015,Southeast,North Carolina,female,drove_alone,1760992
2015,Southeast,North Carolina,female,carpooled,185068
2015,Southeast,North Carolina,female,public_transportation,23906
2015,Southeast,North Carolina,female,bicycle,2688
2015,Southeast,North Carolina,female,walked,31287
2015,Southeast,North Carolina,female,taxicab_or_other,15524
2015,Midwest,North Dakota,female,drove_alone,147014
2015,Midwest,North Dakota,female,carpooled,16519
2015,Midwest,North Dakota,female,public_transportation,665
2015,Midwest,North Dakota,female,bicycle,292
2015,Midwest,North Dakota,female,walked,6549
2015,Midwest,North Dakota,female,taxicab_or_other,474
2015,Midwest,Ohio,female,drove_alone,2156089
2015,Midwest,Ohio,female,carpooled,199754
2015,Midwest,Ohio,female,public_transportation,48338
2015,Midwest,Ohio,female,bicycle,3966
2015,Midwest,Ohio,female,walked,58086
2015,Midwest,Ohio,female,taxicab_or_other,16953
2015,Southwest,Oklahoma,female,drove_alone,670709
2015,Southwest,Oklahoma,female,carpooled,78568
2015,Southwest,Oklahoma,female,public_transportation,3632
2015,Southwest,Oklahoma,female,bicycle,754
2015,Southwest,Oklahoma,female,walked,12821
2015,Southwest,Oklahoma,female,taxicab_or_other,6834
2015,West,Oregon,female,drove_alone,627138
2015,West,Oregon,female,carpooled,85272
2015,West,Oregon,female,public_transportation,45788
2015,West,Oregon,female,bicycle,15992
2015,West,Oregon,female,walked,31500
2015,West,Oregon,female,taxicab_or_other,6118
2015,Northeast,Pennsylvania,female,drove_alone,2171153
2015,Northeast,Pennsylvania,female,carpooled,238440
2015,Northeast,Pennsylvania,female,public_transportation,184446
2015,Northeast,Pennsylvania,female,bicycle,9434
2015,Northeast,Pennsylvania,female,walked,116344
2015,Northeast,Pennsylvania,female,taxicab_or_other,18830
2015,Northeast,Rhode Island,female,drove_alone,199413
2015,Northeast,Rhode Island,female,carpooled,22232
2015,Northeast,Rhode Island,female,public_transportation,6418
2015,Northeast,Rhode Island,female,bicycle,259
2015,Northeast,Rhode Island,female,walked,9467
2015,Northeast,Rhode Island,female,taxicab_or_other,2396
2015,Southeast,South Carolina,female,drove_alone,868406
2015,Southeast,South Carolina,female,carpooled,87557
2015,Southeast,South Carolina,female,public_transportation,4870
2015,Southeast,South Carolina,female,bicycle,2114
2015,Southeast,South Carolina,female,walked,15501
2015,Southeast,South Carolina,female,taxicab_or_other,9782
2015,Midwest,South Dakota,female,drove_alone,164084
2015,Midwest,South Dakota,female,carpooled,16584
2015,Midwest,South Dakota,female,public_transportation,1847
2015,Midwest,South Dakota,female,bicycle,778
2015,Midwest,South Dakota,female,walked,6073
2015,Midwest,South Dakota,female,taxicab_or_other,971
2015,Southeast,Tennessee,female,drove_alone,1186914
2015,Southeast,Tennessee,female,carpooled,120855
2015,Southeast,Tennessee,female,public_transportation,11176
2015,Southeast,Tennessee,female,bicycle,759
2015,Southeast,Tennessee,female,walked,15924
2015,Southeast,Tennessee,female,taxicab_or_other,13172
2015,Southwest,Texas,female,drove_alone,4588861
2015,Southwest,Texas,female,carpooled,580883
2015,Southwest,Texas,female,public_transportation,91935
2015,Southwest,Texas,female,bicycle,7351
2015,Southwest,Texas,female,walked,79500
2015,Southwest,Texas,female,taxicab_or_other,56873
2015,West,Utah,female,drove_alone,459512
2015,West,Utah,female,carpooled,67663
2015,West,Utah,female,public_transportation,13422
2015,West,Utah,female,bicycle,4326
2015,West,Utah,female,walked,18299
2015,West,Utah,female,taxicab_or_other,3609
2015,Northeast,Vermont,female,drove_alone,122910
2015,Northeast,Vermont,female,carpooled,11114
2015,Northeast,Vermont,female,public_transportation,1906
2015,Northeast,Vermont,female,bicycle,1048
2015,Northeast,Vermont,female,walked,9531
2015,Northeast,Vermont,female,taxicab_or_other,1147
2015,Southeast,Virginia,female,drove_alone,1514743
2015,Southeast,Virginia,female,carpooled,174100
2015,Southeast,Virginia,female,public_transportation,90853
2015,Southeast,Virginia,female,bicycle,4121
2015,Southeast,Virginia,female,walked,42835
2015,Southeast,Virginia,female,taxicab_or_other,19317
2015,West,Washington,female,drove_alone,1112870
2015,West,Washington,female,carpooled,151168
2015,West,Washington,female,public_transportation,100070
2015,West,Washington,female,bicycle,10047
2015,West,Washington,female,walked,52203
2015,West,Washington,female,taxicab_or_other,11089
2015,Southeast,West Virginia,female,drove_alone,281425
2015,Southeast,West Virginia,female,carpooled,28782
2015,Southeast,West Virginia,female,public_transportation,3459
2015,Southeast,West Virginia,female,bicycle,220
2015,Southeast,West Virginia,female,walked,8614
2015,Southeast,West Virginia,female,taxicab_or_other,4061
2015,Midwest,Wisconsin,female,drove_alone,1132082
2015,Midwest,Wisconsin,female,carpooled,111664
2015,Midwest,Wisconsin,female,public_transportation,28549
